fname,pause_id,num_of_photos,real_move,max_effective_move,total_move,avg_move
16_n2053,14,9,17.3558135168285,17.3558135168299,17.3558135168285,1.92842372409206
16_n2053,15,16,11.1648120493807,11.1648120493793,12.0551191895845,0.75344494934903
16_n2053,16,7,0,0,0,0
16_n2053,17,14,7.59150751159353,7.59150751159538,7.59150751159353,0.542250536542395
16_n2053,18,45,0,0,0,0
16_n2053,19,9,0,0,0,0
16_n2053,20,22,6.3247521874708,6.32475218747197,6.3247521874708,0.287488735794127
16_n2053,21,26,0,0,0,0
16_n2054,1,52,6.261185225519,6.26118522552125,6.261185225519,0.120407408183058
16_n2054,2,12,0,0,0,0
16_n2054,3,14,0,0,0,0
16_n2054,4,12,0,7.62939453125E-06,0,0
16_n2054,5,21,0,0,0,0
16_n2054,6,10,0,0,0,0
16_n2054,7,7,3.68793257519598,19.3500208935327,38.9961140434958,5.57087343478512
